lemma,part_of_speech,translation,relations
nagadan,transitive inanimate verb,"leave it behind; abandon, outstrip it Paired with:nagazh","nagazh, nagadan, webinigan"
gashki'o,animate intransitive verb,s/he gets free; s/he is able,"gashkiwizh, gashkiwidoon, gashki', gashkinan, gashkin, gashkinan, gashkin, gashkiwizh, gashkiwidoon"
boozi,animate intransitive verb,"s/he gets in or on (a vehicle or a boat), boards, gets aboard, embarks","boozibizh, boozibidoon, boozwebinan, boozwebin"
babaa-,directional preverb,"going about, going around","babaamaasin, babaamaashi, babaamiwizh, babaamiwidoon, babaamibizo, babaamibide, babaamise, babaamise, babaamibizo, babaamibide, babaamiwidoon, babaamaasin, babaamaashi, babaamibizo, babaamibide, babaamaadage, babaamaadagaa, babaamiwizh, babaamiwidoon"
baa-,directional preverb,about a place (locally distributed),
ishpayi'ii,locational adverb,"up high (above, or over it) See also:ishpaya'ii","ishpaya'ii, ishpimiing"
memindage,manner adverb,"especially, particularly, above all, of course",
miniiwaabide,animate intransitive verb,s/he has an abscessed tooth,
apiitendi,animate intransitive verb,"s/he is away, absent, gone so long",
aabiinjitoon,class 2 transitive inanimate verb,"abuse, damage, injure it; overdo an action on it Paired with:aabiinji'","aabiinji', aanimitoon, aanimi'"
odaapin,transitive animate verb,"take, accept, pick h/ up Paired with:an","odaapinan, odaapin"
niiwanishin,animate intransitive verb,s/he dies in an accident,
bichi-,lexical preverb,"accidentally, by accident","bitandan, bitam, bitizhan, bitizh, bitikodan, bitikozh, bitaganaandan, bitaganaam, bita', bita'an, bichinaw, bichinan"
zhaabowe,animate intransitive verb,s/he sings an accompaniment (of women),
wiijiiw,transitive animate verb,"go with, come with, accompany h/",
gashki'ewizi,animate intransitive verb,"s/he accomplishes, succeeds",debin
asigibii'igewinini,animate noun,"an accountant, a bookkeeper",
anaamim,transitive animate verb,"blame h/ (in speech), accuse h/",
bezhigoobii'igan,animate noun,an ace,
dewizi,animate intransitive verb,"s/he aches, has an ache","dewipikwane, dewipikwan, dewaawigane, dadewigane"
moosewiingwe,animate intransitive verb,s/he has acne on h/ face,
mitigomin,inanimate noun,an acorn,
nagadenim,transitive animate verb,"be used to, familiar with, acquainted with h/ Paired with:nagadendan",nagadendan
gashkichige,animate intransitive verb,"s/he acquires something, earns something, is able (to do something)",
daso-diba'igaans,number,"a certain number of minutes, so many minutesa certain number of acres, so many acres","ningo-diba'igaans, ingo-diba'igaans, niiyo-diba'igaans, niiwo-diba'igaans, ningodwaaso-diba'igaans, ingodwaaso-diba'igaans, nishwaaso-diba'igaans, ishwaaso-diba'igaans"
aakomaagwad,inanimate intransitive verb,"it stinks, smells acrid Paired with:aakomaagozi","aakomaagozi, aakomaagwad, aakomaandan, aakomaam, aakomaaso, aakomaate"
aazhogewidoon,class 2 transitive inanimate verb,"carry, take it across Paired with:aazhogewizh","aazhogewizh, aazhogewidoon, aazhawibizo, aazhogebide, aazhawa'oozh, aazhawa'oodoon, aazhawaakosidoon, aazhawaakoshim, aazhawaakosin, aazhawaakoshin, aazhoobatoo, aazhawibatoo, aazhawaadage, aazhawaadagaa, aazhogewizh, aazhogewidoon, aazhawa'oozh, aazhawa'oodoon"
agaamaya'ii,locational adverb,"across something, across the way",
asigagindaaso,animate intransitive verb,"s/he adds, totals","asigagindan, asigagim"
dagon,transitive animate verb,"add h/ in, mix h/ in Paired with:an","dagonan, dagon, dagonigaazo"
ganoozh,transitive animate verb,"address h/, speak to h/, call h/ (on the phone) Paired with:ganoodan","ganoodan, ganoozh"
agoke,inanimate intransitive verb,"it sticks on, adheres Paired with:","agoke, bazagoke"
agokiwasiganeyaab,inanimate noun,adhesive tape,
ogimaawigamig,inanimate noun,an admistrative office; a head office,
minwaabamewizi,animate intransitive verb,"s/he is admired,  is respected",
oshkiniigii,animate intransitive verb,"s/he is young, is an adolescent",
bami',transitive animate verb,"take care of, look after, support, provide for, adopt h/ Paired with:bamitoon",bamitoon
gichi-aya'aa,animate noun,"an adult, an elder",
giizhaa,temporal adverb,already; beforehand; in advance; ahead of time,
miigaadenim,transitive animate verb,think of h/ as an enemy or adversary; feel like fighting h/,
gotaaji,animate intransitive verb,"s/he is afraid, is fearful","gotan, goshi"
makadewiiyaas,animate noun,a Black person; a person of African descent,
baanimaa,temporal adverb,"later, after a while, eventually See also:baamaa","baamaa, baamaapii, baanimaa apii"
baanimaa,temporal adverb,"later, after a while, eventually See also:baamaa","baamaa, baamaapii, baanimaa apii"
ishkwaa-naawakwe,inanimate intransitive verb,it is afternoon,
miinawaa,conjunctive adverb,also; and; again,
aaswaakogaabawi,animate intransitive verb,"s/he stands leaning against something (a wall, a tree)","aatwaakosidoon, aatwaakosin, aatwaakoshim, aatwaakoshin, aatwaakowebinan, aatwaakowebin, apangishin, ashidinan, ashidin"
wiijigim,transitive animate verb,be the same age as h/,apiitaa
gitizi,animate intransitive verb,"s/he is elderly, is old, is aged",
wajepii,animate intransitive verb,"s/he is quick, is agile",
mamaazikaa,animate intransitive verb,"s/he moves, is in motion, twitches",
mewinzha,temporal adverb,"a long time ago, long ago",
debwetaw,transitive animate verb,"believe, agree with, obey h/ Paired with:debwetan",debwetan
minokaw,transitive animate verb,"fit h/ well it (something consumed) agrees with h/, does h/ good See also:minokan",minokan
minwendaagozi,animate intransitive verb,"s/he is likeable, is agreeable, is fun Paired with:minwendaagwad",minwendaagwad
niigaan,locational adverb,"ahead, at the front, leading; in the future",
nayaag,temporal adverb,ahead of time; previously,
zhigweyaabi,animate intransitive verb,s/he aims sights,"zhigweyaabandan, zhigweyaabam"
boodaajii'igan,inanimate noun,"an air pump, a tire pump",
bemisemagak,inanimate participle,an airplane,
endazhi-booniimagak,inanimate participle,airport,
zegim,transitive animate verb,"scare, frighten, intimidate, alarm h/ (verbally)",
amaniso,animate intransitive verb,s/he senses an unseen presence,
ishkodewaaboo,inanimate noun,"alcohol (for drinking): liquor, spirits, whiskey See also:ishkodewaabo",ishkodewaabo
wadoop,animate noun,an alder See also:adoopni,"adoop, adoop, wadoop, wadoop"
ataagib,inanimate noun,algae,
boonii,animate intransitive verb,"s/he alights, lands (from flight) Paired with:magad",booniimagad
bimaadizi,animate intransitive verb,"s/he lives, is alive Paired with:bimaadad","bimaadad, bimaadizi"
akina,quantitative adverb,"all, every See also:g",gakina
gabe-ishkwaa-naawakwe,temporal adverb,all afternoon,"gabe-giizhik, gabe-giizhig, gabenaagosh, gabe-onaagosh"
miziwe,locational adverb,all over; everywhere,
mamakii',transitive animate verb,allot h/ land,
mamakii'idim,animate intransitive verb,there is an allotment of land,
bagidin,transitive animate verb,"set h/ down; offer, release h/allow h/ Paired with:an","bagidinan, bagidin, bagidinigaade"
gegaa,degree adverb,"nearly, almost",
nazhikewizi,animate intransitive verb,"s/he is alone, is one, is the only one","anzhikewabi, nazhikewabi, anzhikewige, anzhikewabi, nazhikewabi, anzhikewabi, nazhikewabi"
bimi-,directional preverb,along; going along; going by; going past; on the way,"bimaasin, bimaashi, bimiwizh, bimiwidoon, bimiwanen, bimoondan, bimoom, biminigaazh, biminigaadan, bimidaabaazh, bimidaabaadan, bimaaboozo, bimaaboode, bimibizo, bimibide, bimibizo, bima'azh, bima'adoon, bimaakosin, bimaakoshin, bimaakosidoon, bimaakoshim, bimakii'ige, bimakii'o, bima'oozh, bima'oodoon, bimibiisaan, bimibiisaa, bimaasin, bimaashi, bimibizo, bimibide, bimaabiiginan, bimaabiigin, bimaadage, bimaadagaa, maajiizh, maajiidoon, maajiidamaw, bimibizonitoon, bima'oozh, bima'oodoon, bimi-ayaa"
zhishwajayi'ii,locational adverb,alongside it,
ozhibii'igan,inanimate noun,"something written: a piece of writing (a paper, essay, report, etc.); something used for writing; mail",
azhigwa,temporal adverb,already; at this time; now; then See also:zhigwa,"zhigwa, azhigwa"
gaye,conjunctive adverb,"as for, also, too, and",
memeshkwad,manner adverb,"in turns, alternately See also:memeshkod",memeshkod
aanawi,manner adverb,although; anyhow; but; despite,
biiwaabiko-jiimaan,inanimate noun,an aluminum canoe,
apane,temporal adverb,all the time; always; continually,
maamakaadendam,class 2 animate intransitive verb,"s/he is amazed, is astonished","maamakaadenim, maamakaadendan"
maamakaadakamig,discourse particle,amazing! astonishing!,"maamakaadendaagwad, maamakaadendaagozi"
gwaashkwezi,animate intransitive verb,"s/he is eager, is energetic, is ambitious",
aakoziiwidaabaan,animate noun,an ambulance See also:ni,"aakoziiwidaabaan, aakoziiwidaabaan"
gichi-mookomaan,animate noun,a white person American See also:gichimookomaan,gichimookomaan
jaaga'e,animate intransitive verb,s/he uses up all of the ammunition,
megwe-,lexical preverb,among; in the midst of,
minik,quantitative adverb,"a certain amount, a certain number, so much, so many",
aanikoobijigan,animate noun,an ancestora great-grandparenta great-grandchild,
boonakajigan,inanimate noun,an anchor,
boonakadoon,class 2 transitive inanimate verb,anchor it,
miinawaa,conjunctive adverb,also; and; again,idash
biijigidaazo,animate intransitive verb,"s/he comes here angry, comes here mad",
nishki',transitive animate verb,"anger h/, make h/ angry or mad",
wewebanaabiiwinini,animate noun,fisherman; angler,
nishkaajitaa,animate intransitive verb,"s/he behaves angrily, acts up in anger","nishkaabandan, nishkaabam"
nishkaadizi,animate intransitive verb,"s/he is angry, is mad","nishkendan, nishkenim"
awakaan,animate noun,"a domestic animal, a pet a captive, a slave",
bikwaakoganaan,inanimate noun,an ankle or wrist joint,
wiindamaage,animate intransitive verb,"s/he tells (it) to people, announces (it) to people, informs people",
migoshkaaji',transitive animate verb,"annoy, bother, pester h/",
migoshkaadendam,class 2 animate intransitive verb,"s/he is annoyed, is bothered, is worried",
aazhidem,transitive animate verb,answer h/ back; talk back to h/,
nakwetam,class 2 animate intransitive verb,s/he answers,
enigoo,animate noun,a big ant,
enigoonsigiwaam,inanimate noun,an anthill,
eshkan,animate noun,"horn (of an animal), antler",
nijiid,dependent inanimate noun,my anus,
ojaanimendam,class 2 animate intransitive verb,"s/he is anxious, is impatient, is in a hurry",
awiya,indefinite pronoun,"somebody, someone, anybody, anyone See also:gaawiin ;gakina",gaawiin awiya
aanawi,manner adverb,although; anyhow; but; despite,
gegoo,indefinite pronoun,"something, anything See also:gaawiin ;gakina",gaawiin gegoo
amanj igo apii,dubitative adverb,anytime; whenever,
aandi go,locational adverb,anywhere; wherever,"gaawiin ingoji, gaawiin ningoji"
bakiboode,inanimate intransitive verb,it (string-like) breaks or parts (from abrasion) Paired with:bakiboozo,"bakiboozo, bakiboode, bakise, biigwaasin, biigwaashi"
gaagiizom,transitive animate verb,"appease h/, apologize to h/, make amends with h/",
bi-naagwad,inanimate intransitive verb,it appears; it comes into view Paired with:bi-naagozi,"bi-naagozi, bi-naagwad"
inaabaminaagwad,inanimate intransitive verb,it appears a certain way (especially as in a dream); it has a certain look or appearance,"makadewinaagwad, makadewinaagozi, ozhaawashkonaagwad, ozhaawashkonaagozi, ozaawinaagwad, ozaawinaagozi, ozhaawashkonaagwad, ozhaawashkonaagozi, getenaagwad, getenaagozi, miskonaagwad, miskonaagozi, waabishkinaagwad, waabishkinaagozi, ozaawinaagwad, ozaawinaagozi"
aanzinaago',transitive animate verb,"change h/ appearance, transform h/ Paired with:aanzinaagotoon","aanzinaagotoon, aanzinaago', izhinaagwad, izhinaagozi"
gaagiizom,transitive animate verb,"appease h/, apologize to h/, make amends with h/",
mishiimin,animate noun,an apple,
mishiiminaaboo,inanimate noun,"apple juice, cider See also:mishiiminaabo",mishiiminaabo
mishiiminaatig,animate noun,an apple tree,
agogwaajigan,inanimate noun,"something sewn or appliqued, trim",
onagim,transitive animate verb,"appoint h/, swear h/ in; decide on h/; put a price or value on h/ Paired with:onagindan",onagindan
naazikan,transitive inanimate verb,"go to, approach it Paired with:naazikaw","naazikaw, naazikan"
ingoji,degree adverb,"somewhere, anywhere; approximately; nearly, almost See also:nadv loc",ningoji
iskigamizige-giizis,animate noun,April,
inapizowin,inanimate noun,a kitchen apron,
zhooshkwaada'ewigamig,inanimate noun,"a rink, a hockey arena",
giikaam,transitive animate verb,quarrel with h/; argue with h/,
ninik,dependent inanimate noun,my arm,
jiiskinikebizon,inanimate noun,an arm garter; an armband; a bracelet,
gashkinikebizon,inanimate noun,an armband,
nining,dependent inanimate noun,h/ armpit,
ditibise,inanimate intransitive verb,"it rolls,  goes around Paired with:",ditibise
giiwitaa-ayi'ii,locational adverb,all around it See also:giiwitaa-aya'ii,"giiwitaa-aya'ii, giiwitaa-ayi'ii, giiwitaasidoon, giiwitaashim, giiwitaashkaw, giiwitaashkan"
ozhishim,transitive animate verb,"put h/ in place, arrange h/, set h/ up Paired with:ozisidoon","ozisidoon, ozhishim"
dakon,transitive animate verb,"hold, take hold of h/arrest h/ Paired with:an",dakonan
bagami-,lexical preverb,arriving,"bagami-ayaa, dagoshinoomagad, dagwishin, dagoshin, bagamiwizh, bagamiwidoon, bagamoom, bagamidaabaazh, bagamidaabaadan, bagamibizo, bagamibide, bagamibizo, bagamibide, bagamise, bagamise, bagamibizo, bagamibide, bagamaadage, bagamaadagaa"
maminaadizi,animate intransitive verb,s/he is arrogant,
bikwak,inanimate noun,an arrow,"bimodan, bimwi, bimo, bimo"
okanaapine,animate intransitive verb,"s/he has arthritis, has rheumatism See also:okaniwaapine","okaniwaapine, okanaapine"
akiwenzii-ziinzibaakwad,inanimate noun,an artificial sweetener,
mazinibii'igewinini,animate noun,a (male) artist,
apiichi-,relative preverb,to a certain extent or degree; as much as,
gaye,conjunctive adverb,"as for, also, too, and",
ombishkaa,animate intransitive verb,"s/he or it (animate) rises, ascends, goes upwards Paired with:","ombishkaa, ombishkaa"
baapaagimaak,animate noun,a black ash (tree),"makominagaawanzh, aagimaak, agaji"
agaji,animate intransitive verb,"s/he is ashamed, is shy, is bashful","agadendaagwad, agadenim, agadendan"
bingwi,inanimate noun,ashes; sand,
agwaayaashi,animate intransitive verb,s/he is blown ashore (by the wind); sails ashore Paired with:agwaayaasin,"agwaayaasin, agwaayaashi, agwaawizh, agwaawidoon, agwaayoondan, agwaayoom, agwaadaabaazh, agwaadaabaadan, agwaabizh, agwaabidoon, agwaayaasin, agwaayaashi, agwaayaadage, agwaayaadagaa, agwaa'oozh, agwaasidoon, agwaashim, agwaawizh, agwaawidoon, agwaayoondan, agwaayoom"
aniibiishikewinini,animate noun,an Asian,
ikowebishkan,transitive inanimate verb,"kick, shove it aside or out of the way (with the foot or body) Paired with:ikowebishkaw","ikowebishkaw, ikowebishkan, ikowebinan, ikowebin, ikoweba'an, ikoweba', ikowebishkan, ikowebishkaw, ikowebinan, ikowebin"
gagwedwe,animate intransitive verb,"s/he asks, asks a question, inquires",
nandodan,transitive inanimate verb,"ask for, request, order it Paired with:nandom See also:andodan","nandom, andodan, andom, nandom, andodamaw, nandodamaw, andodamaage, nandodamaage, nandwewem, andwewem, nandwewem"
wiizhaam,transitive animate verb,"invite h/ (to join an activity), ask h/ along",
nibaa,animate intransitive verb,"s/he sleeps, is asleep","boozaangwaami, boozaangwaam"
giikimaninike,animate intransitive verb,"h/ arm is asleep, arms are asleep; h/ arm feels numb, arms feel numb",
azaadi,animate noun,"a poplar, an aspen","azaadiisag, azaadii-biigijiisag"
makade-bigiw,animate noun,"tar, asphalt",
bigii-miikana,inanimate noun,an asphalt road,
ishpenimo,animate intransitive verb,"s/he is proud, has self-respect",
dewikwe-mashkikiins,inanimate noun,an aspirin,
oninan,transitive inanimate verb,"form, shape, assemble it; get it ready (by hand); put it in order, put it away Paired with:onin","onin, oninan"
maamawi'idiwag,animate intransitive verb,"they assemble, meet together",
asinii-bwaan,animate noun,an Assiniboin,
wiiji'idiwin,inanimate noun,"mutual help or assistance, helping others",
wiidookaagewinini,animate noun,"a helper, an assistant",
aanike-odaake-ogimaa,animate noun,a lieutent-governor; an assistant director,
wiisookaw,transitive animate verb,"associate with, be frequently with, be friendly with h/",
maamakaadizi,animate intransitive verb,"s/he amazes, astonishes",
maamakaadendan,transitive inanimate verb,"be amazed at, be astonished at, wonder at it Paired with:maamakaadenim","maamakaadenim, maamakaadendan"
maamakaadakamig,discourse particle,amazing! astonishing!,"maamakaadendaagwad, maamakaadendaagozi"
desabi,animate intransitive verb,"s/he sits on a raised surface, sits astride, sits straddling something; s/he rides mounted on top",
mawinazh,transitive animate verb,"run at, rush at, charge, attack h/ Paired with:mawinadan","mawinadan, mawine'"
goji-,lexical preverb,attempt; try,
oshkaabewis,animate noun,a ceremonial attendant or messenger,
ambe,interjection particle,attention!; come on!; let's go!,"babaamenim, babaamendan"
zhoobi',transitive animate verb,"attract, please h/",
biibaagadaawaage,animate intransitive verb,s/he sells at a public sale or auction,
madwe-,lexical preverb,audible; being heard; making noise; visible,
bagonezigwa'igan,inanimate noun,an ice auger,
manoominike-giizis,animate noun,the moon of ricing occuring in August or September See also:manoominikewi-giizis,"manoominikewi-giizis, manoominike-giizis"
nizigos,dependent animate noun,my aunt (cross-aunt: father's sister),
waawaate,inanimate intransitive verb,there is a display of the northern lights (aurora borealis),
ogimaawiwin,inanimate noun,government; authority; leadership,
odaabaan,animate noun,"something pulled or dragged as a means of conveyance: a sled, a sleigh, a wago car, an automobile, a vehicle See also:ni","odaabaan, odaabaan, waasamoowidaabaan, waasamoowidaabaan"
nanaa'idaabaanewinini,animate noun,an automobile mechanic,
dagwaagin,inanimate intransitive verb,"it is fall, is autumn","awasi-dagwaagong, awas-dagwaagong"
boonim,transitive animate verb,avoid talking to h/; stop talking to h/,
goshkozi,animate intransitive verb,"s/he wakes up, is awake",amajwebin
ani-,directional preverb,coming up to in time; going away; in progress; on the way See also:ni-,"ni-, animaasin, animaashi, animiwizh, animiwidoon, animoondan, animoom, animaaboozo, animaaboode, animaa'ago, animaa'an, animaa'ago, animibizo, animibide, animwewebizo, animwewebide, animibizo, animibide, animise, animise, animwewebizo, animwewebide, anima'azh, anima'adoon, animibiisaan, animibiisaa, animibatwaazh, animibatwaadan, animaasin, animaashi, animaadage, animaadagaa, animibizo, animibide, animwewebizo, animwewebide, animiwizh, animiwidoon, anima'oozh, anima'oodoon"
apiitendi,animate intransitive verb,"s/he is away, absent, gone so long",
maajiidoon,class 2 transitive inanimate verb,"carry, take it away Paired with:maajiizh","maajiizh, maajiidoon"
nanaa'in,transitive animate verb,"fix, repair h/; put h/ away; put h/ in order Paired with:an","nanaa'inan, nanaa'in, na'inan, na'in"
gagwaanisagakamig,manner adverb,such a terrible or tragic event,
migoos,inanimate noun,an awl,
waagaakwad,inanimate noun,an ax,
waagaakwadwaatig,inanimate noun,an ax handle,
abinoojiinyens,animate noun,a baby,"wewebaabiiginaawaso, wewebaabiiginan"
noobaajigan,inanimate noun,a baby bottle,
gizhaadaawaso,animate intransitive verb,s/he babysits,
moozhaabe,animate noun,"a bachelor, an unmarried man",
azhe-,lexical preverb,go back,"azheshkaa, azhenan, azhen, aabanaabandan, aabanaabam, azheda', azheda'an, azhebizh, azhebidoon, azhenan, azhen"
azhen,transitive animate verb,"return h/, take h/ back, hand h/ back Paired with:an","azhenan, azhen, azhenan, azhen"
nipikwan,dependent inanimate noun,my back,"gizhiibaawigan, gaagiidaawigane, gaagiidaawigane, bagamoom, biidoom, biidoondan, babaamoondan, babaamoom, bimoondan, bimoom, agwaayoondan, agwaayoom, animoondan, animoom, ondoondan, ondoom, maadoondan, maadoom, inoondan, inoom"
ishkweyaang,locational adverb,"behind, at the back, in the rear; back (in time), in the past; in the back",
ishkweyaang,locational adverb,"behind, at the back, in the rear; back (in time), in the past; in the back",
neyaab,manner adverb,as before; back to previous place or condition,
nakwebii'amaw,transitive animate verb,write (it) back to h/,
azhebizo,animate intransitive verb,s/he backs up a vehicle Paired with:azhebide,azhebide
dewaawigan,animate intransitive verb,s/he has a backache See also:e,"dewaawigane, dewipikwane, dewipikwan"
bimiwanaan,inanimate noun,a pack; a backpack,
giikanaabate-gookoosh,animate noun,bacon,
gookooshi-bimide,inanimate noun,lard; bacon grease See also:gookooshiwi-bimide,"gookooshiwi-bimide, gookooshi-bimide"
maazhi-,lexical preverb,bad; ill-formed,
maanendan,transitive inanimate verb,"think or consider it bad, poor, or disagreeable Paired with:maanenim","maanenim, maanendan, maanendaagwad, maanendaagozi, majinaagozi, majinaagwad, maazhimaagwad, maazhimaagozi, maazhimaandan, maazhimaam, maazhimaate, maazhimaaso, maanitaagwad, maanitaagozi, maanitan, maanitaw, maazhipogwad, maazhipogozi"
maji-mashkiki,inanimate noun,poison; bad medicine: a remedy or spell having or intended to have negative results,
maazhi-ayaa,animate intransitive verb,"s/he is bad-off; s/he is in poor health, is ill",
misakakojiish,animate noun,a badger See also:mitask,"mitanask, mitanask, misakakojiish, misakakojiish"
debinaak,manner adverb,badly; carelessly; any old way,
mashkimod,inanimate noun,"a bag, a sack",gashkibidaagan
dasooshkimod,number,a certain number of bags,"ningodooshkin, niiyooshkin, ningodwaasooshkin, ingodwaasooshkin, ishwaasooshkin, nishwaasooshkin"
iska'ibii,animate intransitive verb,s/he bails,
diba',transitive animate verb,pay for h/ or it (animate); bail h/ out Paired with:an See also:wi,"diba'an, diba'wi"
miijimikanjige,animate intransitive verb,s/he baits things,
miijimikanjigan,inanimate noun,bait,
biindaabika'an,transitive inanimate verb,"bake, roast it in the oven Paired with:biindaabika'","biindaabika', gibozan, giboz, biindaabika'an"
bakwezhiganikewikwe,animate noun,a baker (female),
bakwezhiganikewigamig,inanimate noun,a bakery,
ombisijigaans,inanimate noun,baking powder,
ombizigan,inanimate noun,baking soda,
mitaskindibe,animate intransitive verb,s/he is bald,
migizi,animate noun,a bald eagle,migiziwigwan
bikwaakwad,inanimate noun,a ball,"bikwaakwadoshin, bikwaakwadosin"
Baaga'adowaaning,place name,"Ball Club, Minnesota",
bikwaakwado-bagamaagan,inanimate noun,a ball-headed club,
maanazaadi,animate noun,a Balm of Gilead tree; a balsam poplar,zhingob
zhingob,animate noun,a balsam fir; {BL] a bough of any evergreen tree; a christmas tree,maanazaadi
maanazaadi,animate noun,a Balm of Gilead tree; a balsam poplar,akandamoo
akandamoo,animate noun,a ba; root of water plant sp.,
ziinzoopizon,inanimate noun,a bandage,
aazhooningwa'on,inanimate noun,a bandolier bag,
giishkadinaa,inanimate intransitive verb,"it is a cliff, is a steep bank",
zhooniyaawigamig,inanimate noun,a bank,
bakwezhigan,animate noun,"bread, bannockflour",
ziiga'andaw,transitive animate verb,pour liquid on h/; splash h/baptize h/ Paired with:ziiga'andan,ziiga'andan
gashkaakonan,transitive inanimate verb,"bar, lock it (as something stick- or wood-like)",
minikwewigamig,inanimate noun,"a tavern, a bar",
baapaagokozhiwewinini,animate noun,a barber; a (male) hairdresser,
baapaagokozhiwewigamig,inanimate noun,"a barber shop; a beauty parlor, a hair dressing salon",
michizigwaa,inanimate intransitive verb,there is bare ice,"bashkwaandagizi, michaya'ii"
mitaakigane,animate intransitive verb,"s/he is bare-chested, is bare-breasted",
mitaakondibe,animate intransitive verb,s/he is bare-headed,
zhaashaaginizide,animate intransitive verb,s/he is barefoot,
agaawaa,degree adverb,barely; hardly See also:,agaawaa
nabagi-jiimaan,inanimate noun,"a flat-bottomed boat, a barge",
migi,animate intransitive verb,s/he barks,"migizh, migidan"
wanagek,animate noun,bark (of a tree); a piece of bark,"makadewanagekwad, ozaawanagekwad, ozaawanagekozi, babigwanagekwad, babigwanagekozi, makadewanagekwad, makadewanagekozi, ozibanaakwad, ozibanaakozi, ozibanaakwad, ozibanaakozi, waabanagekwad, waabanagekozi, miskwanagekwad, miskwanagekozi, babigwanagekwad, babigwanagekozi, gipaganagekwad, gipaganagekozi, bibaganagekozi, ozaawanagekwad, ozaawanagekozi"
wanagekogamig,inanimate noun,a bark lodge,
biimashkwemaginigan,inanimate noun,a bark torch,
ziiginigewikwe,animate noun,"a bartender (female), a barmaid",
awakaanigamig,inanimate noun,a barn,
makakosag,inanimate noun,"a large rigid containter: a tub. a barrel, a carton",
ziiginigewinini,animate noun,a bartender,
bakitejii'igewin,inanimate noun,"the game of baseball, playing baseball","bagitejii'ige, bakitejii'ige"
bakitejii'iganaak,inanimate noun,a baseball bat,
bakitejii'igewi-wiiwakwaan,inanimate noun,a baseball cap,
bakitejii'igewinini,animate noun,a baseball player; a batter See also:bagitejii'igewinini,"bagitejii'igewinini, bakitejii'igewinini"
anaamisag,locational adverb,"under the floor, in the basement",
aabiindaganaam,transitive animate verb,"pummel, bash h/",
agaji,animate intransitive verb,"s/he is ashamed, is shy, is bashful",
gichi-onaagan,inanimate noun,"a large dish or shallow pan: a basin, a dish pan",
abaasandeke,animate intransitive verb,s/he basks in the sun,
makak,inanimate noun,"a semi-rigid or rigid container: a basket (especially one of birch bark), a box",
ashigan,animate noun,"a fish of the sunfish family; locally applied to rock bass, crappie, and largemouth bass in NW Ontario",
wiigob,animate noun,a basswood,"wiigobaatig, wiigobimizh, wiigobiiwaatig"
wiigob,inanimate noun,inner bark of basswood,
asigobaan,inanimate noun,processed basswood bark fiber,
wiigobiibag,inanimate noun,a basswood leaf,
apakwaanaajiinh,animate noun,a bat See also:b,"bapakwaanaajiinh, apakwaanaajiinh"
bakitejii'iganaak,inanimate noun,a baseball bat,
giziibiigazhe,animate intransitive verb,"s/he washes up, takes a bath, bathes",
bagizo,animate intransitive verb,"s/he bathes, goes swimming",
bagizoowigamig,inanimate noun,a bathroom (a room for bathing),"zaaga'amoowigamig, miiziiwigamig"
bagizowin,inanimate noun,"a bathtub, a swimming pool",
bagitejii'igewinini,animate noun,a baseball player; a batter See also:bakitejii'igewinini,"bakitejii'igewinini, bagitejii'igewinini"
ishkode-makakoons,inanimate noun,a battery,
miigaadiwin,inanimate noun,"a battle, a war",
wiikwed,inanimate noun,bay,
aawan,inanimate intransitive verb,it is a certain thing Paired with:aawi,"aawi, aawan, aawan, abi, ayaa, bagami-ayaa, biinzo, biinde"
dakadaawangaa,inanimate intransitive verb,"there is cool sand, is a cool beach",
manidoominens,animate noun,a bead,
mazinigwaaso,animate intransitive verb,"s/he embroiders, beads something","mazinigwaazh, mazinigwaadan"
mazinaabidoo'iganaatig,inanimate noun,a bead loom,
manidoominensikaan,animate noun,an item of bead work,
naabidoo'igan,inanimate noun,a beading needle,
okoozh,dependent inanimate noun,"its (a bird's) bill, beak",
mashkodesimin,animate noun,a bean See also:mashkodiisimin,"mashkodiisimin, mashkodesimin, miskojiisimin, miskodiisimin"
mashkodesiminaaboo,inanimate noun,bean soup,
makoons,animate noun,a bear cub,"noozhe-makwa, noozhek, noozhe-makwa, naabek, naabe-makwa"
niigi',transitive animate verb,"bear h/, make h/ grow or increase in number Paired with:niigitoon",niigitoon
gigishkan,transitive inanimate verb,"have it on (the body), bear it (on the body); wear it Paired with:gigishkaw","gigishkaw, gigishkan"
mako-bimide,inanimate noun,bear grease,
mako-wiiyaas,inanimate noun,bear meat,
makwasaagim,animate noun,a bear paw snowshoe,
miishidaamikan,animate intransitive verb,he has a beard See also:e,"miishidaamikane, miishidaamikan"
niiwezh,transitive animate verb,"defeat h/ (in a contest or game), beat h/ (in a contest or game)",
baaga'akokwe,animate intransitive verb,s/he beats a drum,
niiwana',transitive animate verb,"slaughter h/, beat h/ to death",
miikawaadad,inanimate intransitive verb,"it is handsome, is beautiful Paired with:miikawaadizi","miikawaadizi, miikawaadad, miikawaadendan, miikawaadenim, miikawaadendaagwad, miikawaadendaagozi"
baapaagokozhiwewigamig,inanimate noun,"a barber shop; a beauty parlor, a hair dressing salon",
amik,animate noun,a beaver,amikobwaam
amiko-zhiigozhigan,inanimate noun,a beaver carcass scrap,
amiko-giba'igan,inanimate noun,a beaver dam,
amiko-bimide,inanimate noun,beaver grease,
amikwayaan,animate noun,a beaver hide,
amikwiish,inanimate noun,a beaver lodge,
amiko-wiiyaas,inanimate noun,beaver meat,
amikob,inanimate noun,a beaver pond,
