lemma,ojibwe_sentence,english_sentence
bakwezhigaans,Nimiinaa a'a abinoojiinh bakwezhigaansan.,I'm giving the child a cookie.
bakwezhigaans,Ogii-chekibiinaan obakwezhigaansiman ji-nookaabaawenid.,She dunked her cookie to soften it.
jiibaakwewakik,Atoon imaa jiibaakwewakikong.,Put it in the pot.
jiibaakwewakik,Gichi-mindido aw jiibaakwewakik.,That cooking pot is very big.
baaka-aakwenhwigamig,Baaka'aakwenhwigamigoonsing iwidi apane owi-asiginang iniw waawanoon.,He went to the chicken coop to gather up the eggs.
zhinoodaagan,Gii-mashkawaabiigad i'iw zhinoodaagan gaa-aabajichigaadeg gii-dakobinind a'aw asab.,The cord they used to tie the net was strong.
mandaamin,Bashkwada' mandaaminag.,Hoe the corn.
mandaamin,Ningii-onzwaag mandaaminag.,I boiled some corn.
mandaamin,Obashkwada'waan iniw omandaaminiman imaa gitigaaning.,He's hoeing his corn in the garden.
mandaamini-gitigaan,Ogii-minwaabandaanaawaa gaa-waabandamowaad iwe gichi-mandaamini-gitigaan.,They liked the huge cornfield they saw.
mandaamini-gaapizigaansag,Aabitooshkinewag igiw mandaamini-gaapizigaansag imaa booskinaaganing.,There's a half-bowl of cornflakes there.
gwayak,Izhi-gwayak inikwenin.,Hold your head straight ahead.
gwayak,Mii 'iw gwayak ekwaademagak.,That's the right way it is sewn.
gwayak,Gwayak ina inaadizi ji-debwetawindiban.,Is she honest enough to be trusted?
weweni,Ayaapii go gii-niisijiwan iwe miikana. Weweni go bimibizoniken.,There are spots where the road is eroded. Be careful while you're driving.
weweni,Jiikaagamin iwe aniibiish. Weweni ogii-minwaagamitoon.,The tea was real good. He brewed it really well.
weweni,Onaabandan weweni iwe waa-mamooyan.,Select very carefully what you want to take.
weweni,Memwech igo weweni wii'-wiisini.,He has to have a full-course meal.
weweni,Wakewan i'iw akwaandawaagan. Weweni.,That ladder is weak. Careful!
weweni,Weweni odaminog.,Play nicely.
weweni,Weweni gidaa-naanaagadawendam waa'-izhichigeyan.,Think carefully about what you are going to be doing.
weweni,Weweni inanjige'idizon. Gego miijiken gaa-boozaag.,Keep to a proper diet. Don't eat fatty things.
babagiwayaaniigin,Ogii-gakakizhaan 'i babagiwayaaniigin wii-okonaasiked.,She cut the fabric into squares to make a blanket.
babagiwayaaniigin,Minwegad iwe babagiwayaaniigin miinawaa minwaandemagad.,That material is a good quality and it's also colored just right.
ozosodamoo-mashkiki,Mashkikii-adaawewigamigong ogii-ondinaan i'iw ozosodamoo-mashkiki.,He got the the cough medicine from the pharmacy.
daa,Wiinaabikadoon gidoonaaganan. Gidaa-giziibiiginaanan.,Your dishes are dirty. You should wash them.
daa,Migoos gidaa-aabajitoon ji-bagone'aman.,You can use  an awl to make a hole in something.
daa,Onzaam gichi-michaabiigad 'i biiminakwaan. Gaawiin gidaa-aabajitoosiimin.,That rope is too big. We can't use it.
daa,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
daa,Maagizhaa awiya gidaa-wiidookawaa.,Maybe you can help somebody.
daa,Gidaa-bi-giziisaginamaw ina?,Would you come and wash my floor for me?
zagaswe-iwe,Gii-sagaswe'iwe awe ogimaa anda-gikendang enaasamiiying,The chief called a meeting to find out about what is ahead for us.
aki,Nimiigaadaan indakiim ji-ganawendamaan.,I'm fighting to keep my land.
aki,"Mii omaa ezhi-bagamising i'iwe aki ebitamong,",The land we inhabit extends to here.
aki,Gaawiin ganabaj giiyaabi da-mino-izhiwebasinoon omaa miziwe akiing. Anooj izhiwebad. Gichi-gagotaamigwad miinawaa miigaading.,I don't think we'll see any good events on this earth. Many things are happening. There are bad storms and war happening.
nooji-ikwewe-nagamon,Niminotam iko madwe-nagamowaad iwe nooji'ikwewe-nagamon.,I like when they sing that flirting song.
agwana-an,Mitikwam gidaa-agwana'aanan amikoganan.,You can cover up the beaver bones right on the ice.
bizhiki,Wawaasaabizowag igiweg bizhikiwag mekwaasenodawagwaa,The eyes of the cows I flashed my light on are showing.
bizhiki,Gitigewinini omaajinizhikawaa' obizhikiima'.,The farmer is chasing his cattle (out of the pasture).
bizhiki,Aaniish enangizod awe bizhiki.,How much does that cow cost?
zhaagode-e,Gaawiin igo minogaabawisii 'aw ogichidaa; onzaam zhaagode'e.,The warrior's not in good standing because he's too weak.
daashkikwadin,Ogii-aazhawishimaan ini nabgisagoon imaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.
bakwezhigaans,Nimiinaa a'a abinoojiinh bakwezhigaansan.,I'm giving the child a cookie.
bakwezhigaans,Ogii-chekibiinaan obakwezhigaansiman ji-nookaabaawenid.,She dunked her cookie to soften it.
dikinaagan,Giizhoopizh giniijaanis dakobinad dikinaaganing.,Wrap up your child warm when you tie him in the cradle board.
giziibwewe,Giziibwewe dakaasijigan.,A fan is squeaking.
mazina-amaw,Mii omaa wendinigeyaan apane. Apane go nimazina'amowaa wa'awe.,This is where I always get my stuff. I always get credit from him.
mazina-amaw,Owi-gagwejim  a'awe adaawewinini ji-mazina'amowang ge-miijiying noongom onagoshig.,Go ask the storekeeper if we can charge up food for this evening's meal.
mazina-amaw,Gaa maawiin da-inendanzii ji-mazina'amawag zhooniyaan.,She probably won't let me borrow the money.
mazina-amaw,Ingii-tebaabamaa biida'adood gaa-mazina'amawid zhooniyaan gaa'-izhi-gaajibani'od.,"I saw the guy that owes me money coming this way, but he quickly hid behind something."
mazina-amaw,Onzaam gabaya'ii ogii-mazina'amaagoon gaa-onji-naadazina'iged.,The bill was way overdue and that's why he went after his debt.
omashkiigoo,Dadaatabigiizhwewag igiweg omashkiigoog.,Those Crees talk fast.
ziibiins,Awasajiw izhijiwan 'i ziibiins.,The stream flows to the other side of the hill.
ziibiins,Gii-aazhawishkaawaad imaa ziibiinsing gii-pimaadagaaziiwag.,"When they crossed the stream, they waded through the water."
aazhideyaatig,Gii-mashkawichigaazo 'aw aazhideyaatig gaa-padakinind.,They strengthened the cross they erected.
aazhideyaatig,Gii-sagaakwa'igaazo awe gizhe-manidoo imaa aazhideyaatigong.,They nailed Jesus to the cross.
giishkiboojigan,"Giga-meshkwadoonamoon a'awe nindagikoonsim, a'awe dash gigiishkiboojigan.",I'll trade you my outboard motor for your power saw.
giishkiboojigan,Maamaagojiibidoon gigiishkiboojigan ji-maajiibideg.,Prime your saw so it will start.
aandeg,Geyaabi babaamisewag aandegwag. Gaawiin mashi ando-biboonishisiiwag.,The crows are still flying around. They haven’t migrated for the winter yet.
aandeg,Wanakong agoozi aandeg. Ganabaj wii'-niiskaadad.,The crow is sitting on the top of a tree. He's telling us that wet weather is coming.
biisibidoon,Ogii-piisibidoon 'i mazina'igan.,He shredded the document.
onaabanad,Ogidadewebatoowag waaboozoog gii-onaabanak.,The rabbits run on top of the snow when there is a crust on it.
mawi,Aaniin dash wenji-mawiyan.,Why are you crying?
mawi,Geyaabi mawi a'aw biibiiyens.,That baby is still crying.
mawi,Wegonen wenji-mawiyan.,Why are you crying?
makoons,Babiiwizhiinyiwag igiw makoonsag gaa-waabamagwaa.,The bear cubs I saw were tiny.
onaagaans,Desa'oning gii-onjibide 'iw onaagaans.,The cup fell from the ledge.
onaagaans,Gii-minochige awe gaa-maada'ookiid iniw onaagaansan.,He did it right when he doled out the cups.
onaagaans,Ogii-paninaan odoonaagaans.,She dropped her cup.
ataasowin,Atoon daga iniw onaaganan imaa ataasowining.,Please put the dishes in the cupboard.
gibiiga-igan,Ikweginan iwe gibiiga'igan.,Put the window curtains up out of the way.
giishkizh,Ogii-pabaa-gikinawaaji'aawaan iniwen mitigoon ge-giishkizhomind.,They went around marking the trees they were going to cut down.
banaadad,Oke-banaadad iwe gichi-aniibiish neboobiikaadeg.,That boiled cabbage spoils easily.
hay,"Hay', mii naa gii-bakobiised nindibe'igiiziswaanens.","Damn, my watch fell in the water."
hay,"Hay', ingii-peshaabikinaan.","Damn, I got cut."
hay,"Hay', mii gii-noonashkina'igooyaan; onzaam mooshkinebiwag.","Damn, there's not enough room for me. They're full up."
hay,"Hay', gii-maanaagamisin iwe nibi.","Damn, the water's turned bad."
hay,"Hay', nindoodaabaan gii-kibichise.","Oh, my car quit working."
hay,"Hay', aazha apane gii'-ani-agwaazii mooz.","Oops, the moose already got out of the water (and is gone)."
niimi,Ambe shke naa owi-niimidaa.,"Come on, let's go dance."
niimi-idiwin,Ogii-tibaadodaan i'iw gaa-pawaadang gii-minwaabandang 'iw gichi-niimi'idiwin.,He talked about the good dream he had about a big pow-wow.
bimoonjigan,Ogii-panoomaan obimoonjiganan.,He dropped his bustle off his back.
bimoonjigan,Gii-piigwaashi 'aw bimoonjigan.,The bustle was ripped apart in the wind.
bimoonjigan,Baakagoojin awe imbimoonjigan.,My bustle is hanging open.
bimoonjigan,Obimoonjiganan onizhishiwan.,H/ dance bustle is nice.
naniizaanad,Gego imaa izhaaken. Naniizaanad imaa metaabiigising biiwaabik.,Don't go there. It's dangerous there where there's a bare cable.
naniizaanad,Odoonji'aan ji-niminaakosinig gii-naniizaanak zaaga'igan.,He tells him not to go out on the ice when it's dangerous.
makadewaa,Makadewaa 'iw jiimaan.,That boat is black.
makadewaa,Niminwendaanan gaa-makadewaagin makizinan.,I like the black pair of shoes.
makadewaa,Makadewaawan nimakizinan.,My shoes are black.
indaanis,Gii-kwiinoobii aana-gii-nibinaadid a'awe indaanis.,My daughter went to fetch water and she didn't find any.
indaanis,Ogii-wiiweginaan iniw oniijaanisensan awe indaanis.,My daughter wrapped up her baby.
na-aanganikwe,Gii-minozekwe awe na'aanganikwe.,Our daughter-in-law cooked a good meal.
waaban,Gabe-gigizheb ninga-ab waabang.,Ill be home all morning tomorrow.
waaban,Wii-aabawaamagad iidog waabang.,It's going to be warm tomorrow.
waaban,Naage waasa wii'-ani-izhi-gozi waabaninig.,He's going to move further away tomorrow.
giizhig,Debitaagoziwag igiw binesiwag iwidi giizhigong.,The thunderbirds can be heard up in the sky.
giizhig,Ingii-pawaadaan babaamaashiyaan giizhigong.,I dreamed I was soaring around in the sky.
biidaaban,Bijiinag igo biidaabang giga-bakinasabiimin.,We'll pull out our net as early as dawn.
gagiibishe,Gaawiin ninoondaagosiin a'aw inini. Ganabaj gagiibishe.,That man didn't hear me. I think he's deaf.
naadazina-ige,Onzaam gabaya'ii ogii-mazina'amaagoon gaa-onji-naadazina'iged.,The bill was way overdue and that's why he went after his debt.
wayezhim,Ogii-wayezhimigoon ini adaawewininiwan awe mindimooyenh.,The storekeeper cheated the old lady.
inendam,Aaniish enendaman. | Ambegish.,What are you thinking about? | I wish.
inendam,"Giiyaabi go gigizhebaawagad. ""Maagizhaa gii-ishkwaa-naawakwe,"" indinendam.",It's still morning. I thought maybe it was afternoon.
inendam,"""Waasa go apiichaa,"" gidinendam.","You think ""It's far from here."""
inendam,Aaniin giin enendaman.,What do you think?
dimii,Dimiimagad naawi-zaaga'igan.,It's deep in the middle of the lake.
dimii,"Giishpin wiimaashkanzig gaa-izhi-dimiinig, da-gichiwise.","If he doesn't go around the deep part of the water, he'll be stuck."
waawaashkeshi,Gii-pabiiwishkam awe waawaashkeshi gaa-... gaa-pima'anag.,The deer I tracked had small tracks.
waawaashkeshi,Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.
waawaashkeshi,Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.,He's working on the deer he shot.
waawaashkeshi,"Nina'aangish gii-paashkizwaad ini waawaashkeshiwan, agaawaa ogii-kashkinanaan.","When my son-in-law shot the deer, he barely got him."
waawaashkeshi,Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.,He's looking for the deer he wounded.
zhaagooji,Gii-paapichigaazo niitaawis gii-shaagooji'igod iniw omindimooyenyiman.,They laughed at my cousin when his old lady over-powered him.
apiitendan,Ogichi-apiitendaan gaa-ina'oonind gii-odaapiniged imaa gii-pagijigeng.,He was really happy with the gift he got from the give-away.
apiitendan,Aaniin giin epiitendaman owe biindigajigan.,What do you think about the resolution that's being entered.
waazh,Ogii-mikaan 'i waazh i'imaa  endazhenid iniw boodaajibingwesiwan.,He found the hole where the gophers live.
waazh,Waanda-wiimbaamagad naa 'i waazh imaa nibaad makwa.,The den where a bear sleeps is hollow.
aabiinzom,Ogichi-aabiinzomaan iniw onaabeman aw ikwe gii-o-jaagaaboojigenid.,She really cussed out her husband because he went and spend all they got.
maajaa,Ambe ani-maajaadaa. Indaga amaji'.,Let's get going. Wake him up!
maajaa,Baanimaa apii niwii-ni-maajaa.,I'll leave later.
maajaa,Booch igo gii-ni-maajaad nishiime.,My sister left anyway.
maajaa,Gii-miiwanokii gaa-onji-maajaad.,He doesn't like working so he left.
maajaa,Niigaan ani-maajaan. Booch giga-adimigoo.,Just go ahead. We'll catch up to you anyway.
maanendam,Nimaanendam enaajimotawid.,What is was telling me makes me feels sad.
anaamiindim,Anaamiindim waasagwinjin zhooniyaans.,There's a quarter shining on the bottom.
anaamiindim,Agwaaweba'an zhinoodaagan anaamiindim gaa-agwindeg.,Flick out the rope that's under the water.
aanawi,"Aanawi go aana-waawiindamowaad, mii go gaawiin nisidotanziiwan.","Even though he told him many a time, he still didn't understand."
aanawi,Mii go aanawi gii-minoshing a'awe majiikiwis imaa ziindaamagak.,That battery did fit into the tight place.
aanawi,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
aanawi,Aanawi go naa weweni ningii'-waawiindamawaa.,I did explain it carefully to her (but she might not get it).
aanawi,Gego izhinoo'waaken giiji-bimaadizii aanawi go gii-bizhishigwaabikak.,Don't aim your gun at a fellow human being even if it is empty.
inendaagozi,Aaniin enendaagozid.,What do people think of h/? How is s/he regarded?
inendaagozi,Maamakaadakamig inendaagozi gaa-anokiitang waakaa'igan.,It's amazing the way he's working on that house.
mindookad,Mindookad imaa mashkosiikaang inagakeyaa gaa... gaa-ni-izhaayaan wenji-dipaabaawegin nimakizinan.,There was dew on the the grass where I was going so that's why my shoes are wet.
mindookad,Niibaa-dibik ingii-nooji'aag gichi-mooseg gii-mindookak.,I hunted for night crawlers late at night when there was dew.
inanjige,Mii iwe gaa-igod iniw mashkikiiwininiwan ji-inanjiged.,That is what the doctor told him -- to be on a certain diet.
inanjige,Aaniin amik enanjiged.,What does a beaver eat?
inanjige,Anooj igo inanjige. Mii 'i gaa-onji-ishpaagamishkaanig omiskwiim.,He eat junk food. That's why he has high blood pressure.
bakaan,Bakaan inwewag igi anishinaabeg iwidi wenjiiwaad zhaaganaashiiwakiing.,The Natives that are from Canada sound different when they talk.
bakaan,Bakaan izhinaagwad iw jiimaan.,That boat looks different (from before).
bakaan,Bakaan inaajimo awe bezhig.,This other guy is telling a different story.
bakaan,Bakaan inwe gii-anishinaabemod. Ganabaj ningoji waasa onjii.,Her Ojibwe dialect is different. I think she's from somewhere far away.
zanagad,Booch igo ingii-kashkitoon aana-gii-gichi-zanagak owe gaa-inanoonigooyaan.,"I accomplished the task I was assigned anyway, even though it was hard."
zanagad,Zanagadini enwed 'a gaagiigidod. Gawiin ninisidotawaasii.,The speaker's way of talking is difficult. I don't understand him.
moona-an,Omoona'aan mashkiki.,She digs up medicine.
gwaaba-waagan,Gwaaba'waagan nindaabaji'aa gii-debinagwaa giigoonyag gii-aamiwaad.,I use a scoop net to get the fish when they are spawning.
gwaaba-igan,Bagwaabikishkaa gwaaba'iganish wenji-onjigaag.,The old dipper has got a hole in it; that's why it leaks.
akeyaa,Ondaas omaa akeya bi-izhaan.,Come around over this way.
dibishkoo,Dibishkoo go naa ezhi'aad iniwen bakwezhiganan ezhichigeyaan.,She makes the bread the same way I do it.
dibishkoo,Dibishkoo go gaa-gii'-ikidod bijiinaago.,Just like what he said yesterday.
wiinad,Gizibiiga'an daga iwe waabishkiigin. Wiinad.,Please wash that sheet. It's dirty.
wiinad,Wiinad i'iw adoopowinaak. Mii na go ji-biinitooyamban?,That table is dirty. Can you clean it?
wiinad,Wiinadoon gidoonaaganan. Gidaa-giziibiiginaanin.,Your dishes are dirty. We should wash them.
maanendan,Omaanendaan i'iw odaakewin gaa-piindigajigaadenig.,He didn't like the regulation that was introduced.
maanendan,Nimaanendaan waakaa'igan. Onzaam agaasate. Gaawiin niwii'-adaawesiin.,I don't like the house because it's too small. I'm not going to buy it.
weniban,"Gii-ikido wii-pi-izhaad, weniban ko ge-bi-dagoshing.","He said he was coming, but he never showed up."
weniban,Weniban maa ge-ayaad ani-dagoshinaan.,He wasn't there when I got there.
minjinawezi,Minjinawezi 'aw abinoonjiiyens dekaanig.,That child is not satisified with the ice cream.
minjinawezi,Gii-minjinawezi gii-niiwenimind ini zhooshkwaada'enid aana-gii-ataagewaad.,He regretted that his team lost at the hockey game.
aakoziwin,Ogii-o-webaasidoon aakoziwin.,He went and let the illness fly away in then wind.
gabaa,Gidaa-gabaa na?,Can you get off?
gabaa,Giwii-ni-gabaa na iwidi endaayeg?,Do you want to get off where you live?
gabaa,Jiigagam onji-gabaan.,Get out of the boat close to the bank.
gabaa,Gego imaa izhi-gabaaken. Nibiiwaabikaa. Giga-ozhaashaabikishin.,Don't get off (the boat) there. The rocks are wet. You might slip and fall.
gabaa,Naanaagaji' asin ji-ozhaashaabikizid jibwaa-gabaayan.,Make sure if the rock is slippery or not before you get off (the canoe).
onaagan,Ningizibiiginaan i'iw onaagan. Wiinad.,I'm washing this dish. It's dirty.
onaagan,Atoon daga iniw onaaganan imaa ataasowining.,Please put the dishes in the cupboard.
onaagan,Ningiziibiiginaanan onaaganan jibwaa-agwaakadodeg wiisiniwin.,I'm washing the dishes before the food sticks to them.
onaagan,Ozhisidoon onaaganan. Mii zhigwa go wiiba ji-wiisiniyang.,Set out the dishes. We're ready to eat.
onaagan,Wiinaabikadoon gidoonaaganan. Gidaa-giziibiiginaanan.,Your dishes are dirty. You should wash them.
bagese,Giga-bagesemin ishkwaa-naawakweg.,We'll play the dish game after noon.
gichi-onaagan,Oziiginaan imaa gichi-onaaganing. Mii imaa gaa-tazhi-nase'ang i'iwe gii-ozhitood ziinzibaakwad.,She pours it (maple syrup]) into a big dish. That's where she granulated it to make sugar.
gichi-onaagan,Niwii-kiziibiigizide jibwaa-agonjidooyaan inzidan imaa gichi-onaaganing.,I'm going to wash my feet before I soak them in the basin.
giziiyaabika-igan,Giziiyaabika'igan aabajitoon wii-pengwaabika'aman gidoonaaganan.,Use a dish towel when you're going to dry your dishes.
aanawenjigaazo,"Aanawenjigaazowan obakwezhiganikaanan; onzaam aakwaakadozowan, gaye bibagiziwan",Her bannock is disliked because it is too crusty and too thin.
zhazhiibitam,Giiwaaj isa go naa ezhi-gichi-zhazhiibitang abinoonjiiyish.,"What the heck, that child don't even listen."
mindawe,Ogii-kwiinawendaan 'iw gaa-andawendang gaa-onji-mindawed.,What he wanted wasn't there so he got kind of mad and said the hell with it.
mindawe,Indawaaj igo inga-baapi'aa awe gaa-mindawed aanawi agwaa'izekwed miinawaa.,I just laugh at the one who wanted to go for seconds but there was nothing left.
apiichaa,"""Waasa go apiichaa,"" gidinendam.","You think ""It's far from here."""
apiichaa,Aaniin epiichaag oodenaang? |  Niisimidana daso-diba'igan apiichaa.,How far to town? | I think it is about thirty miles.
apiichaa,Aaniin epiichaag ezhi-wekwaamog miikana.,How far is the end of the road?
waasa,"""Waasa go apiichaa,"" gidinendam.","You think ""It's far from here."""
waasa,Gichi-waasa bimi-debinaagod iwe jiimaan bemi-ayaamagak.,That boat that's going by is a long ways out.
waasa,Waasa onzaabi.,He's watching from way over there.
waasa,Waasa gii-ina'adoo.,He walked far.
waasa,Waasa danwewidamoog ma'iinganag.,I can hear the wolves in the distance.
waasa,Waasa noopimiing odoondaawanaawaa' asinii' gaa-madoodiswaagewaad.,They hauled stones from way off in the woods to use for the sweat lodge.
wanishkwe,Gego babaamenimaaken. Megwaa odaabaanike. Giga-wanishkwe'aa.,Don't bother him. He's busy working on a car. You'll distract him.
maada-ookii,Mii 'iw gii-maada'ookiid iniw bagijiganan.,He distributed the offerings.
maada-ookii,Awi-maada'ookiin ini gigishkiganan gaa-piijigaadegin.,Go distribute those clothes they brought over.
maada-ookiiwin,Debise 'iw maada'ookiiwin.,There's ample distribution.
googii,Mii iwidi gii-ni-mookised a'awe gaa-ni-googiid.,The diver popped up down yonder.
googii,Apane naa gaa-koogiiwaad igiweg maangwag genawaabamagwaaban,The loons I'd been watching dived.
bakewin,Ogii-bakewinaan iniw odikweman.,He divorced his wife.
doodaadiwag,Anooj doodaadiwag.,They're doing everything to each other. [said in jest]
niminaawaandawaagan,Ishkwe-niminaawaandawaaganing niibawi gaa-wewebanaabiid.,He stands at the end of the dock when he's fishing.
niminaawaandawaagan,Agwaabidoon giniminaawaandawaagan jibwaa-gashkading.,Pull your dock out of the water before it freezes up.
mashkikiiwinini,Mii iwe gaa-igod iniw mashkikiiwininiwan ji-inanjiged.,That is what the doctor told him -- to be on a certain diet.
mashkikiiwinini,Gii-kiimoodanokii aana-gii-igod ini mashkikiiwininiwan ji-anokiisig.,He worked in secret even though the doctor told him not to work.
mazina-igan,Biminizha'an imaa ezising mazina'iganing.,Follow what's printed on the paper.
mazina-igan,Aaniin wenji-wiiweginaman iniw mazina'iganan.,Why are you wrapping the books?
mazina-igan,Azhiwaasin moozhwaagan giishpin giishkizhaman biiwaabik maagizhaa ge mazina'igan.,Scissors get dull if you cut metal or paper.
dabazi,Gii-tabazi awe giigidoowinini gii-waabandang epiichi-zanagadinig iwe gaa-piindigajigaadenig.,The representative backed up when he saw how difficult that resolution was.
dabazi,Gii-tabazi awe bagite'igewinini gii-chi-ishpiwebinamawind iwe bikwaakwad.,The batter ducked when they gave him a high pitch.
animosh,Anaami-adoopowin ayaa a'aw animosh migid.,The dog is under the table barking.
animosh,Odaabii' igiweg animoshag.,Drive the dog team.
animosh,Ogii-akwaandawenizhikawaan imaa mitigong iniw gaazhagensan 'aw animoshish.,That ol' dog chased that cat up a tree.
animosh,Gego babaamenimaaken animoshag gaa-miigaadiwaad. Giga-bitamigoog.,Don't bother the fighting dogs. They might accidentally bite you.
mazinichigan,Ogii-mashkawi'aan iniw mazinichiganan gaa-... gaa-ozhikonaad.,He made that statue that he carved stronger.
waaginogaan,Badakidoon giwaaginogaan.,Set up your lodge.
waaginogaan,Akawe waaginan mitigoon wii'-ozhitooyan waaginogaan.,Bend the sticks of the frame before making the waaginogaan.
awakaan,Ogiziibiiginaan odawakaanan.,He's washing his pets.
gego,Gego imaa izhaaken. Zhiishiigwaakaa imaa.,Don't go there. There's rattlesnakes there.
gego,Gego babaamenimaaken a'awe. Giga-wanishkwe'aa awe mezinikojiged.,Don't bother that person. You will distract him while he's carving.
gego,Gego indawaaj gozisiidaa.,Let's not move after all.
gego,"Giishpin dewikweshkid, gego miinaaken iw mashkikiins.","If he's always got a headache, don't give him a pill."
gego,Ayaangwaamizin. Gego ozhaashishingen.,Be careful. Don't slip and fall.
ishkwaandem,Gibaakwa'an daga iwe ishkwaandem. Daki-ayaamagad agwajiing.,Please close the door. It's cold outside.
ishkwaandem,Gii-madweyaabikise gii-gashkaakwa'igaadeg iwe ishkwaandem.,You can hear the clicking when they lock the door.
ishkwaandem,Aabaabika'amawishin nindishkwaandem. Gaawiin aapiji ninzaabaabisii.,Unlock my door for me. I can't see that well.
ishkwaandem,Bezhig ishkwaandem ningii'-andodamaagen gii-biigonigaadeg gete-waakaa'igan.,I've asked for one of the doors of the old house they're tearing down.
niisaandawe,Mii 'iw wayiiba ji-niisaandawed awe epakwed. Indaga ozisidoon iwe adoopowin.,The guy that's roofing will be climbing down pretty soon. Go set the table.
niisaya-ii,Mii imaa wenji-wanitood i'iw obiimaskwa'iganim. Ingii-noondaan madwesing iwidi niisaya'ii.,He missed his wrench but I heard it drop down below.
odaabaadan,Iwidi ogii-odaabaadaan awasisag i'iwe gashkibidaagan.,He dragged that satchel from the other room.
ziikoobiiginan,Nimaamaa ogii-aabajitoon babagiwayaanish gii-siikoobiiginamaang iwe ozhiga'iganaaboo.,My mother used an old rag when we strained that sap.
ziikoobiiginan,Ogii-siikoobiiginaan 'i ojiimaan.,He drained out his canoe.
gibiiga-igan,Ikweginan iwe gibiiga'igan.,Put the window curtains up out of the way.
ikwanaamo,Gichi-weweni ikwanaamo awe nimishoomis gaa-pi-zaaga'ang.,My grandfather went outside and took a deep breath.
bawaajigan,Gichi-apiitendaagwadoon bawaajiganan.,Dreams are very important.
bawaadan,Ingii-pawaadaan babaamaashiyaan giizhigong.,I dreamed I was soaring around in the sky.
bawaadan,Ogii-tibaadodaan i'iw gaa-pawaadang gii-minwaabandang 'iw gichi-niimi'idiwin.,He talked about the good dream he had about a big pow-wow.
biizikonaye,Wewiib biizikonayeg.,Hurry up and get dressed.
biizikonaye,Wewiib biizikonayeg.,Hurry up and get dressed.
wiikobijigan,Atoon imaa owiikobijiganing.,Put it in her drawer.
wiikobijigan,Ogii-wiikwajitoon 'iw baataasenig wiikobijigan.,He tried to pull open the stuck drawer.
wiikobijigan,Na'inan ini gidaya'iiman imaa wiikobijiganing.,Put your things away in the dresser.
mina,Mina' a'awe noondayaabaagwed.,Give the one who's thirsty a drink.
mina,"Wa, gichi-mashkawaagamin i'iw ishkodewaaboo gaa-mina'igooyaan.","Wah, the liquor they gave me to drink is very strong."
mina,Odanaamo awe nimishoomis. Niwii-o-mina'aa awe ozosodamoo-mashkikii.,My grandpa is wheezing and short-winded. I think I'll go give him some of his cough medicine.
minikwe,Bangii ogii-minikwen 'iw doodooshaaboo.,He drank a little bit of the milk.
minikwe,Ngii-nibeshkaagon 'iw gaa-minikweyaan miinawaa gaa-miijiyaan.,What I drank and ate put me to sleep.
mikwamiiwinaagaans,Gii-niigosin iwe mikwamiiwinaagaans imaa gaa-onjibideg a... adoopowinaakong.,The glass shattered when it fell off the table.
onjigaa,Bagwaabikishkaa gwaaba'iganish wenji-onjigaag.,The old dipper has got a hole in it; that's why it leaks.
bagamibide,Mii zhigwa gii-pagamibideg 'iw ishkodewidaabaan.,The train has arrived.
bagamibide,Mii wayiiba ji-bagamibideg i'iw booziwe-odaabaan.,The bus will come soon.
odaabii,Odaabii' igiweg animoshag.,Drive the dog team.
odaabii,Niizhoopizowag animoshag gaa-odaabii'aad gaa-maa'ishkang.,There are two dogs in the team the one that goes shopping drives.
bimibizoni,Wiin obimibizoni'aan iniw daashkiboojiganan.,He is operating the sawmill.
odaabii-iwewinini,Gii-tajise awe odaabii'iwewinini gaa-onji-giiwenizha'ond.,The driver was late -- that's why they sent him home.
banin,Ogii-paninaan ozhooniyaansiman gaa-izhi-diitibizonid anaamaya'ii dakisijiganing.,He dropped his coin and it rolled down under the refrigerator.
banin,Ogii-pigishkishimaan gii-paninaad iniw waabiganimoodayan.,He dropped that jug and it fell to pieces.
madwe,Owii-madwe'waan iidog odewe'iganiman awaswaabang.,He's going to pound on his drum and sing the day after tomorrow.
dewe-igan,Aaniish ezhichigaanaad ini dewe'iganan.,How is he making that drum?
dewe-igan,Gichi-zaasaakwe awe mindimooyenh epiichi-jiikimigod iniw dewe'iganan miinawaa negamonid.,The old lady gave a loud war whoop she was so happy to hear the drum and the singers.
giiwashkwebii,Wiinge baaso gabe-dibik gaa-gii-kiiwashkwebiid.,The one who was drunk all night long is pretty hung-over and dry.
baaso,Mii go wenda-baasoyaan. Gidayaawaa na asemaa.,I'm really dry (need a chew). Do you have any tobacco?
baaso,Aasamaateshim gidamikwayaan ji-baasod.,Put your beaver board so the sun will dry it.
baaso,Biindigewebin gidaagimag. Da-baasowag omaa biindig.,Throw your snowshoes inside. They will dry here inside.
